"Refs","Value","Footprint","Qty","DNP"
"C1","10u","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1",""
"C2","22u","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1",""
"C3","22u","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1",""
"C4","10u","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1",""
"C20","100n","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1",""
"C21","100n","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1",""
"C22","100n","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1",""
"C23","100n","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1",""
"C24","100n","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1",""
"C25","100n","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1",""
"D1","1N4148","Diode_SMD:D_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1",""
"F1","1A","Sprinkler System:Fuseholder_5x20mm_15mm_Pins","1",""
"F2","2A","Sprinkler System:Fuseholder_5x20mm_15mm_Pins","1",""
"J1","Main Supply","Connector_Phoenix_MC:PhoenixContact_MC_1,5_3-G-3.81_1x03_P3.81mm_Horizontal","1",""
"J2","XFMR_Out","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal","1",""
"J3","XFMR_In","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal","1",""
"J4","Conn_Button","Connector_JST:JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical","1",""
"J5","UART0","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","1",""
"J6","I2C","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","1",""
"J20","Station_0","Connector_Phoenix_MC:PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal","1",""
"J21","Station_1","Connector_Phoenix_MC:PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal","1",""
"J22","Station_2","Connector_Phoenix_MC:PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal","1",""
"J23","Station_3","Connector_Phoenix_MC:PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal","1",""
"J24","Station_4","Connector_Phoenix_MC:PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal","1",""
"J25","Station_5","Connector_Phoenix_MC:PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal","1",""
"K1","G3MB-202P","Sprinkler System:RELAY_G3MB-202P","1",""
"K20","G5LE-1-DC5","Relay_THT:Relay_SPDT_Omron-G5LE-1","1",""
"K21","G5LE-1-DC5","Relay_THT:Relay_SPDT_Omron-G5LE-1","1",""
"K22","G5LE-1-DC5","Relay_THT:Relay_SPDT_Omron-G5LE-1","1",""
"K23","G5LE-1-DC5","Relay_THT:Relay_SPDT_Omron-G5LE-1","1",""
"K24","G5LE-1-DC5","Relay_THT:Relay_SPDT_Omron-G5LE-1","1",""
"K25","G5LE-1-DC5","Relay_THT:Relay_SPDT_Omron-G5LE-1","1",""
"LED1","IO2","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1",""
"LED2","PWR","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1",""
"R1","10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R2","4k7","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R3","10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R4","470","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R5","10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R6","10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R7","10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R8","470","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R9","10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R10","10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R11","4k7","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R12","4k7","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R13","4k7","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R14","4k7","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R20","100","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R21","100","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R22","100","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R23","100","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R24","100","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R25","100","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"RV20","68V","Varistor:RV_Disc_D15.5mm_W5.4mm_P7.5mm","1",""
"RV21","68V","Varistor:RV_Disc_D15.5mm_W5.4mm_P7.5mm","1",""
"RV22","68V","Varistor:RV_Disc_D15.5mm_W5.4mm_P7.5mm","1",""
"RV23","68V","Varistor:RV_Disc_D15.5mm_W5.4mm_P7.5mm","1",""
"RV24","68V","Varistor:RV_Disc_D15.5mm_W5.4mm_P7.5mm","1",""
"RV25","68V","Varistor:RV_Disc_D15.5mm_W5.4mm_P7.5mm","1",""
"SW1","EN","Button_Switch_SMD:SW_Push_SPST_NO_Alps_SKRK","1",""
"SW2","BOOT","Button_Switch_SMD:SW_Push_SPST_NO_Alps_SKRK","1",""
"TP1","Gnd","TestPoint:TestPoint_Pad_D1.5mm","1",""
"TP2","5V","TestPoint:TestPoint_Pad_D1.5mm","1",""
"TP3","3v3","TestPoint:TestPoint_Pad_D1.5mm","1",""
"U1","AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1",""
"U2","EL817","Package_SO:SOP-4_3.8x4.1mm_P2.54mm","1",""
"U3","HLK-PM01","Converter_ACDC:Converter_ACDC_Hi-Link_HLK-PMxx","1",""
"U4","ESP32-WROOM-32U","RF_Module:ESP32-WROOM-32U","1",""
"U5","ULN2803A","Package_SO:SOIC-18W_7.5x11.6mm_P1.27mm","1",""
